,importance,split
atr20,95.84141981601715,23
ret120,71.2485898733139,18
ret20,187.47549712657928,20
ret20_60,34.76040995121002,13
ret60,73.02574968338013,18
std20,150.69459056854248,26
std60,54.72644019126892,18
volatility_regime,62.28815031051636,15
asset_turnover,19.597599864006042,8
current_asset_ratio,40.6361198425293,15
current_ratio,0.0,0
ey,71.84486019611359,25
financial_leverage,17.888579845428467,8
oper_profit_growth,31.507059812545776,10
opm,45.82564985752106,11
pb,38.49007964134216,16
pe,21.442870140075684,8
pe_ratio,15.690749883651733,5
profit_growth,33.898680090904236,12
profit_quality,23.4404296875,9
ps,6.635079979896545,3
revenue_growth,14.679100155830383,4
roa,14.42093014717102,6
roe,23.557519793510437,10
roe_growth,125.99236071109772,29
