date,stock_code,action,price,shares
2020-01-03,002972.SZ,BUY,14.87,166
2020-01-03,002970.SZ,BUY,66.95,35
2020-01-03,603886.SH,BUY,12.5,180
2020-01-03,002607.SZ,BUY,18.16,124
2020-01-03,002379.SZ,BUY,3.71,608
2020-01-03,600618.SH,BUY,6.49,346
2020-01-03,601900.SH,BUY,7.56,298
2020-01-03,600587.SH,BUY,10.22,219
2020-01-03,002837.SZ,BUY,3.91,574
2020-01-03,002869.SZ,BUY,41.12,54
2020-01-03,600757.SH,BUY,4.65,483
2020-01-03,002221.SZ,BUY,7.4,304
2020-01-03,600897.SH,BUY,14.53,155
2020-01-03,002884.SZ,BUY,7.0,321
2020-01-03,000885.SZ,BUY,9.12,246
2020-01-03,002190.SZ,BUY,21.98,103
2020-01-03,601233.SH,BUY,14.27,157
2020-01-03,600340.SH,BUY,21.03,107
2020-01-03,600643.SH,BUY,8.58,264
2020-01-03,600901.SH,BUY,3.18,708
2020-02-04,002607.SZ,SELL,14.3,124
2020-02-04,600340.SH,SELL,16.74,107
2020-02-04,600643.SH,SELL,6.96,264
2020-02-04,600757.SH,SELL,3.92,483
2020-02-04,600901.SH,SELL,2.55,708
2020-02-04,601233.SH,SELL,11.6,157
2020-02-04,603886.SH,SELL,9.86,180
2020-02-04,000885.SZ,SELL,7.85,246
2020-02-04,002190.SZ,SELL,22.56,103
2020-02-04,002221.SZ,SELL,8.29,304
2020-02-04,002837.SZ,SELL,5.3,574
2020-02-04,002869.SZ,SELL,33.51,54
2020-02-04,002970.SZ,SELL,54.86,35
2020-02-04,002972.SZ,SELL,11.71,166
2020-02-04,600340.SH,SELL,16.74,107
2020-02-04,601233.SH,SELL,11.6,157
2020-02-04,000719.SZ,BUY,5.16,426
2020-02-04,601900.SH,BUY,6.71,21
2020-02-04,000933.SZ,BUY,3.17,616
2020-02-04,002607.SZ,BUY,14.3,20
2020-02-04,600757.SH,BUY,3.92,65
2020-02-04,002379.SZ,SELL,3.45,20
2020-02-04,603886.SH,BUY,9.86,23
2020-02-04,002179.SZ,BUY,18.24,119
2020-02-04,600587.SH,SELL,13.44,55
2020-02-04,600618.SH,SELL,7.46,58
2020-02-04,002818.SZ,BUY,7.11,287
2020-02-04,600901.SH,BUY,2.55,107
2020-02-04,600897.SH,BUY,11.13,19
2020-02-04,002102.SZ,BUY,2.05,1000
2020-02-04,603086.SH,BUY,4.91,439
2020-02-04,600589.SH,BUY,3.27,595
2020-02-04,002884.SZ,BUY,6.32,14
2020-02-04,600643.SH,BUY,6.96,36
2020-02-04,002746.SZ,BUY,6.57,295
2020-02-04,000065.SZ,BUY,5.8,350
2020-03-03,000065.SZ,SELL,7.11,350
2020-03-03,000719.SZ,SELL,5.76,426
2020-03-03,002379.SZ,SELL,4.11,588
2020-03-03,002607.SZ,SELL,21.85,20
2020-03-03,002746.SZ,SELL,8.74,295
2020-03-03,002818.SZ,SELL,8.12,287
2020-03-03,002884.SZ,SELL,8.27,335
2020-03-03,600587.SH,SELL,12.75,164
2020-03-03,600589.SH,SELL,4.95,595
2020-03-03,600618.SH,SELL,7.75,288
2020-03-03,600643.SH,SELL,7.72,36
2020-03-03,600757.SH,SELL,4.16,65
2020-03-03,600897.SH,SELL,12.67,174
2020-03-03,600901.SH,SELL,2.79,107
2020-03-03,601900.SH,SELL,8.66,319
2020-03-03,603086.SH,SELL,5.26,439
2020-03-03,603893.SH,BUY,68.33,36
2020-03-03,603290.SH,BUY,85.48,29
2020-03-03,601696.SH,BUY,11.31,222
2020-03-03,603719.SH,BUY,28.0,89
2020-03-03,002975.SZ,BUY,58.32,39
2020-03-03,600276.SH,BUY,58.68,39
2020-03-03,600085.SH,BUY,24.86,92
2020-03-03,002727.SZ,BUY,19.95,116
2020-03-03,600265.SH,BUY,21.41,107
2020-03-03,600593.SH,BUY,39.45,57
2020-03-03,603222.SH,BUY,37.21,61
2020-03-03,603096.SH,BUY,36.66,63
2020-03-03,000933.SZ,BUY,3.72,8
2020-03-03,002179.SZ,SELL,20.48,5
2020-03-03,603233.SH,BUY,23.63,97
2020-03-03,002869.SZ,BUY,52.64,45
2020-03-03,002275.SZ,BUY,11.12,206
2020-03-03,002102.SZ,BUY,2.08,106
2020-03-03,603886.SH,BUY,11.28,182
2020-03-03,002512.SZ,BUY,6.45,364
2020-03-17,002512.SZ,SELL,5.43,364
