date,stock_code,action,shares,price,value,commission,portfolio_value_before,position_mode
2013-07-03,600257.SH,BUY,4800,6.1712,29621.61,59.2432,69771.91,fixed
2013-07-03,000665.SZ,BUY,4100,7.1973,29508.76,59.0175,69884.76,fixed
2013-07-03,600455.SH,BUY,2400,12.13,29112.0,58.224,70281.52,fixed
2013-07-31,000665.SZ,SELL,-4100,8.344,29508.76,68.421,133090.86,fixed
2013-07-31,600257.SH,SELL,-4800,6.0256,29621.61,57.8458,133203.7,fixed
2013-07-31,600455.SH,BUY,2400,12.13,29112.0,58.224,74470.09,fixed
2013-07-31,000719.SZ,BUY,5800,5.1697,29984.38,59.9688,73597.71,fixed
2013-08-28,000719.SZ,SELL,-5800,7.4163,29984.38,86.0293,154791.83,fixed
2013-08-28,600455.SH,SELL,-4800,13.8861,58224.0,133.3066,183031.45,fixed
2013-08-28,002388.SZ,BUY,7700,3.8735,29826.06,59.6521,94981.39,fixed
2013-08-28,002555.SZ,BUY,20200,1.483,29956.57,59.9131,94850.88,fixed
2013-08-28,002289.SZ,BUY,2300,12.7166,29248.27,58.4965,95559.18,fixed
2013-08-28,002385.SZ,BUY,6600,4.5234,29854.71,59.7094,94952.74,fixed
2013-09-27,002289.SZ,SELL,-2300,11.2117,29248.27,51.5738,155960.36,fixed
2013-09-27,002385.SZ,SELL,-6600,4.721,29854.71,62.3171,156566.8,fixed
2013-09-27,002388.SZ,SELL,-7700,4.5443,29826.06,69.9822,156538.15,fixed
2013-09-27,002555.SZ,BUY,20200,1.483,29956.57,59.9131,96755.52,fixed
2013-09-27,002174.SZ,BUY,4500,6.5263,29368.53,58.7371,97343.56,fixed
2013-09-27,300017.SZ,BUY,7800,3.803,29663.14,59.3263,97048.95,fixed
2013-11-01,002174.SZ,SELL,-4500,11.5614,29368.53,104.0527,262805.38,fixed
2013-11-01,002555.SZ,SELL,-40400,3.3645,59913.14,271.8546,293349.99,fixed
2013-11-01,300017.SZ,SELL,-7800,4.8798,29663.14,76.1242,263099.99,fixed
2013-11-01,002400.SZ,BUY,3200,9.2394,29566.08,59.1322,203870.77,fixed
2013-11-01,600381.SH,BUY,1700,16.75,28475.02,56.95,204961.82,fixed
2013-11-01,000557.SZ,BUY,4300,6.9342,29817.12,59.6342,203619.72,fixed
2013-11-01,000607.SZ,BUY,7100,4.1794,29673.78,59.3476,203763.07,fixed
2013-11-01,600058.SH,BUY,2200,13.398,29475.6,58.9512,203961.25,fixed
2013-11-01,002356.SZ,BUY,7100,4.1835,29702.95,59.4059,203733.89,fixed
2013-11-01,600234.SH,BUY,5100,5.77,29427.0,58.854,204009.85,fixed
2013-11-29,002356.SZ,SELL,-7100,4.1835,29702.95,59.4059,261798.88,fixed
2013-11-29,002400.SZ,SELL,-3200,9.0413,29566.08,57.8642,261662.01,fixed
2013-11-29,600058.SH,SELL,-2200,13.398,29475.6,58.9512,261571.53,fixed
2013-11-29,600234.SH,SELL,-5100,5.77,29427.0,58.854,261522.93,fixed
2013-11-29,002279.SZ,BUY,8100,3.7022,29987.74,59.9755,202108.19,fixed
2013-11-29,000546.SZ,BUY,5400,5.53,29862.14,59.7243,202233.79,fixed
2013-11-29,300209.SZ,BUY,8200,3.6435,29876.66,59.7533,202219.28,fixed
2013-11-29,300136.SZ,BUY,11100,2.6745,29686.54,59.3731,202409.4,fixed
2013-12-27,000546.SZ,SELL,-5400,5.5709,29862.14,60.1659,264278.57,fixed
2013-12-27,000557.SZ,SELL,-4300,6.9342,29817.12,59.6342,264233.56,fixed
2013-12-27,002279.SZ,SELL,-8100,3.7022,29987.74,59.9755,264404.18,fixed
2013-12-27,300209.SZ,SELL,-8200,3.8591,29876.66,63.2887,264293.09,fixed
2013-12-27,300248.SZ,BUY,11000,2.7057,29762.42,59.5248,204654.01,fixed
2013-12-27,300268.SZ,BUY,5300,5.65,29945.0,59.89,204471.43,fixed
2013-12-27,600734.SH,BUY,21400,1.3963,29880.69,59.7614,204535.74,fixed
2013-12-27,002346.SZ,BUY,5600,5.2887,29616.47,59.2329,204799.97,fixed
2014-01-27,300136.SZ,SELL,-11100,3.3402,29686.54,74.1527,275373.84,fixed
2014-01-27,300248.SZ,SELL,-11000,3.1405,29762.42,69.091,275449.73,fixed
2014-01-27,002346.SZ,BUY,5600,5.2887,29616.47,59.2329,216070.84,fixed
2014-01-27,300044.SZ,BUY,8900,3.3494,29809.41,59.6188,215877.9,fixed
2014-01-27,002579.SZ,BUY,8100,3.673,29751.06,59.5021,215936.24,fixed
2014-03-03,002346.SZ,SELL,-11200,6.4565,59232.93,144.6258,353188.63,fixed
2014-03-03,002579.SZ,SELL,-8100,6.5147,29751.06,105.5384,323706.76,fixed
2014-03-03,300044.SZ,SELL,-8900,5.3891,29809.41,95.9256,323765.1,fixed
2014-03-03,300268.SZ,SELL,-5300,5.65,29945.0,59.89,323900.69,fixed
2014-03-03,300143.SZ,BUY,5800,5.1573,29912.53,59.8251,264043.16,fixed
2014-03-03,600506.SH,BUY,3500,8.54,29890.0,59.78,264065.69,fixed
2014-03-03,600734.SH,BUY,21400,1.4852,31782.75,63.5655,262172.94,fixed
2014-03-03,300278.SZ,BUY,8700,3.4133,29695.93,59.3919,264259.76,fixed
2014-03-03,002180.SZ,BUY,6600,4.5156,29803.28,59.6066,264152.41,fixed
2014-03-03,002517.SZ,BUY,13100,2.2764,29820.64,59.6413,264135.05,fixed
2014-03-31,002180.SZ,SELL,-6600,8.0036,29803.28,105.6478,340152.66,fixed
2014-03-31,300143.SZ,SELL,-5800,5.1573,29912.53,59.8251,340261.91,fixed
2014-03-31,600734.SH,SELL,-42800,1.1772,61663.44,100.7695,372012.83,fixed
2014-03-31,300291.SZ,BUY,3100,9.5494,29603.09,59.2062,280746.29,fixed
2014-03-31,002190.SZ,BUY,2000,14.805,29610.09,59.2202,280739.29,fixed
2014-03-31,002517.SZ,BUY,13100,2.2764,29820.64,59.6413,280528.74,fixed
2014-03-31,600862.SH,BUY,10400,2.8693,29840.66,59.6813,280508.72,fixed
2014-03-31,000668.SZ,BUY,3200,9.3078,29784.98,59.57,280564.4,fixed
2014-04-29,000668.SZ,SELL,-3200,8.9717,29784.98,57.4189,357259.31,fixed
2014-04-29,002190.SZ,SELL,-2000,14.805,29610.09,59.2202,357084.42,fixed
2014-04-29,002517.SZ,SELL,-26200,2.2764,59641.29,119.2826,387115.62,fixed
2014-04-29,300278.SZ,SELL,-8700,4.215,29695.93,73.3404,357170.26,fixed
2014-04-29,300291.SZ,SELL,-3100,13.7495,29603.09,85.2467,357077.42,fixed
2014-04-29,600381.SH,SELL,-1700,16.75,28475.02,56.95,355949.35,fixed
2014-04-29,600506.SH,SELL,-3500,8.41,29890.0,58.87,357364.33,fixed
2014-04-29,000670.SZ,BUY,5900,5.0761,29948.93,59.8979,297525.4,fixed
2014-04-29,300237.SZ,BUY,14600,2.0459,29870.76,59.7415,297603.57,fixed
2014-04-29,600862.SH,BUY,10400,2.8693,29840.66,59.6813,297633.67,fixed
2014-04-29,300085.SZ,BUY,5300,5.6525,29958.48,59.917,297515.86,fixed
2014-04-29,000068.SZ,BUY,4400,6.7067,29509.48,59.019,297964.85,fixed
2014-04-29,000607.SZ,BUY,7100,4.1794,29673.78,59.3476,297800.55,fixed
2014-04-29,002316.SZ,BUY,3400,8.5945,29221.19,58.4424,298253.14,fixed
2014-04-29,000520.SZ,BUY,11800,2.53,29854.0,59.708,297620.33,fixed
2014-04-29,600730.SH,BUY,6500,4.5765,29747.57,59.4951,297726.76,fixed
2014-05-29,000068.SZ,SELL,-4400,6.7333,29509.48,59.2527,425818.3,fixed
2014-05-29,000607.SZ,SELL,-14200,8.1245,59347.55,230.7358,455656.38,fixed
