date,stock_code,action,price,shares
2023-10-10,600262.SH,BUY,12.22,185
2023-10-10,603685.SH,BUY,14.72,153
2023-10-10,603585.SH,BUY,10.0,225
2023-10-10,600241.SH,BUY,7.59,296
2023-10-10,603711.SH,BUY,15.77,143
2023-10-10,603331.SH,BUY,13.08,172
2023-10-10,603615.SH,BUY,8.67,261
2023-10-10,000833.SZ,BUY,4.83,466
2023-10-10,002360.SZ,BUY,6.74,336
2023-10-10,002083.SZ,BUY,4.13,543
2023-10-10,603787.SH,BUY,13.2,170
2023-10-10,603006.SH,BUY,9.95,227
2023-10-10,603380.SH,BUY,21.89,102
2023-10-10,603683.SH,BUY,9.83,228
2023-10-10,603499.SH,BUY,4.61,487
2023-10-10,601968.SH,BUY,5.44,414
2023-10-10,603166.SH,BUY,6.32,354
2023-10-10,000417.SZ,BUY,4.98,453
2023-10-10,603321.SH,BUY,7.45,301
2023-10-10,003042.SZ,BUY,17.98,125
2023-11-02,000417.SZ,SELL,4.53,453
2023-11-02,002083.SZ,SELL,4.39,543
2023-11-02,002360.SZ,SELL,6.75,336
2023-11-02,003042.SZ,SELL,17.88,125
2023-11-02,600241.SH,SELL,7.87,296
2023-11-02,601968.SH,SELL,5.42,414
2023-11-02,603006.SH,SELL,10.33,227
2023-11-02,603166.SH,SELL,6.72,354
2023-11-02,603331.SH,SELL,13.08,172
2023-11-02,603380.SH,SELL,22.62,102
2023-11-02,603499.SH,SELL,4.78,487
2023-11-02,603615.SH,SELL,10.88,261
2023-11-02,603683.SH,SELL,10.53,228
2023-11-02,603685.SH,SELL,14.64,153
2023-11-02,603711.SH,SELL,15.5,143
2023-11-02,603787.SH,SELL,13.58,170
2023-11-02,603577.SH,BUY,8.87,257
2023-11-02,605389.SH,BUY,17.99,127
2023-11-02,002774.SZ,BUY,6.98,332
2023-11-02,605268.SH,BUY,9.3,247
2023-11-02,002054.SZ,BUY,6.79,336
2023-11-02,002890.SZ,BUY,10.72,214
2023-11-02,603385.SH,BUY,7.33,313
2023-11-02,002238.SZ,BUY,6.43,355
2023-11-02,603976.SH,BUY,19.62,117
2023-11-02,605189.SH,BUY,11.99,191
2023-11-02,603808.SH,BUY,9.86,233
2023-11-02,603639.SH,BUY,15.25,151
2023-11-02,002578.SZ,BUY,3.79,606
2023-11-02,600262.SH,BUY,12.02,6
2023-11-02,000833.SZ,BUY,4.76,16
2023-11-02,002734.SZ,BUY,7.62,300
2023-11-02,603810.SH,BUY,12.98,177
2023-11-02,603937.SH,BUY,12.61,182
2023-11-02,603321.SH,BUY,7.51,3
2023-12-04,000833.SZ,SELL,4.99,482
2023-12-04,002054.SZ,SELL,6.79,336
2023-12-04,002238.SZ,SELL,12.68,355
2023-12-04,002578.SZ,SELL,3.74,606
2023-12-04,002734.SZ,SELL,7.73,300
2023-12-04,002774.SZ,SELL,7.28,332
2023-12-04,002890.SZ,SELL,11.15,214
2023-12-04,600262.SH,SELL,13.49,191
2023-12-04,603321.SH,SELL,8.0,304
2023-12-04,603385.SH,SELL,8.07,313
2023-12-04,603577.SH,SELL,9.14,257
2023-12-04,603585.SH,SELL,10.28,225
2023-12-04,603808.SH,SELL,9.36,233
2023-12-04,603810.SH,SELL,13.54,177
2023-12-04,603937.SH,SELL,12.46,182
2023-12-04,603976.SH,SELL,19.88,117
2023-12-04,605189.SH,SELL,12.57,191
2023-12-04,605268.SH,SELL,9.44,247
2023-12-04,603685.SH,BUY,14.88,164
2023-12-04,002749.SZ,BUY,7.63,319
2023-12-04,603269.SH,BUY,5.09,481
2023-12-04,605389.SH,BUY,18.51,4
2023-12-04,000517.SZ,BUY,2.29,1067
2023-12-04,002206.SZ,BUY,4.81,513
2023-12-04,002739.SZ,BUY,12.7,192
2023-12-04,000880.SZ,BUY,7.55,324
2023-12-04,603511.SH,BUY,14.59,167
2023-12-04,605058.SH,BUY,21.99,110
2023-12-04,600480.SH,BUY,6.21,396
2023-12-04,600828.SH,BUY,3.89,626
2023-12-04,603230.SH,BUY,12.06,202
2023-12-04,600820.SH,BUY,4.94,496
2023-12-04,603176.SH,BUY,6.26,391
2023-12-04,002763.SZ,BUY,7.15,342
2023-12-04,603639.SH,BUY,14.64,15
2023-12-04,600617.SH,BUY,2.82,868
2023-12-04,002641.SZ,BUY,4.99,490
2023-12-04,000090.SZ,BUY,4.63,528
2024-01-03,000090.SZ,SELL,4.09,528
2024-01-03,000880.SZ,SELL,7.53,324
2024-01-03,002641.SZ,SELL,4.8,490
2024-01-03,002739.SZ,SELL,13.19,192
2024-01-03,002749.SZ,SELL,8.54,319
2024-01-03,600480.SH,SELL,6.53,396
2024-01-03,600820.SH,SELL,5.26,496
2024-01-03,600828.SH,SELL,3.69,626
2024-01-03,603230.SH,SELL,13.93,202
2024-01-03,603269.SH,SELL,4.78,481
2024-01-03,603685.SH,SELL,15.31,164
2024-01-03,605058.SH,SELL,21.79,110
2024-01-03,605389.SH,SELL,18.99,131
2024-01-03,603511.SH,BUY,13.99,6
2024-01-03,603585.SH,BUY,10.12,240
2024-01-03,605268.SH,BUY,9.24,262
2024-01-03,605138.SH,BUY,7.77,313
2024-01-03,605007.SH,BUY,14.15,173
2024-01-03,603221.SH,BUY,10.04,240
2024-01-03,600617.SH,BUY,2.69,34
2024-01-03,603602.SH,BUY,14.57,165
2024-01-03,600220.SH,BUY,2.02,1204
2024-01-03,002264.SZ,BUY,5.46,444
2024-01-03,603639.SH,BUY,14.25,4
2024-01-03,002206.SZ,BUY,4.53,22
2024-01-03,002949.SZ,BUY,12.79,190
2024-01-03,600400.SH,BUY,2.78,877
2024-01-03,000877.SZ,BUY,6.43,378
2024-01-03,002062.SZ,BUY,4.2,579
2024-01-03,603976.SH,BUY,19.25,126
2024-01-03,000517.SZ,BUY,2.15,71
2024-01-31,603602.SH,SELL,11.61,165
2024-02-01,002206.SZ,SELL,3.72,535
2024-02-01,002264.SZ,SELL,4.23,444
2024-02-01,002949.SZ,SELL,10.16,190
2024-02-01,603511.SH,SELL,11.58,173
2024-02-01,603976.SH,SELL,14.71,126
2024-02-01,605007.SH,SELL,11.25,173
2024-02-01,605138.SH,SELL,5.91,313
2024-02-02,603639.SH,SELL,11.95,170
2024-02-02,000517.SZ,SELL,1.99,1138
2024-02-02,000877.SZ,SELL,6.48,378
2024-02-02,002062.SZ,SELL,3.7,579
2024-02-02,002763.SZ,SELL,5.95,342
2024-02-02,600220.SH,SELL,1.77,1204
2024-02-02,600400.SH,SELL,2.6,877
2024-02-02,600617.SH,SELL,2.41,902
2024-02-02,603176.SH,SELL,5.05,391
2024-02-02,603221.SH,SELL,9.75,240
2024-02-02,603585.SH,SELL,8.2,240
2024-02-02,603639.SH,SELL,11.95,170
2024-02-02,605268.SH,SELL,7.68,262
2024-02-02,605006.SH,BUY,5.61,370
2024-02-02,603790.SH,BUY,10.1,205
2024-02-02,603385.SH,BUY,6.27,329
2024-02-02,605055.SH,BUY,5.17,400
2024-02-02,603823.SH,BUY,7.57,289
2024-02-02,603928.SH,BUY,5.49,380
2024-02-02,605339.SH,BUY,15.27,136
2024-02-02,605007.SH,BUY,11.09,188
2024-02-02,002054.SZ,BUY,5.28,395
2024-02-02,603155.SH,BUY,8.01,264
2024-02-02,601288.SH,BUY,3.41,612
2024-02-02,000626.SZ,BUY,5.82,359
2024-02-02,002940.SZ,BUY,14.99,139
2024-02-02,002950.SZ,BUY,7.34,284
2024-02-02,001206.SZ,BUY,11.01,190
2024-02-02,002636.SZ,BUY,6.34,331
2024-02-02,603181.SH,BUY,8.02,260
2024-02-02,603511.SH,BUY,11.8,182
2024-02-02,002811.SZ,BUY,6.62,311
2024-02-02,603010.SH,BUY,8.58,245
2024-02-07,000626.SZ,SELL,4.54,359
2024-02-07,002636.SZ,SELL,5.0,331
2024-02-07,002811.SZ,SELL,4.98,311
2024-02-07,603385.SH,SELL,4.9,329
2024-02-07,603790.SH,SELL,7.85,205
2024-02-07,605055.SH,SELL,3.97,400
2024-02-08,001206.SZ,SELL,8.66,190
2024-02-08,603823.SH,SELL,5.68,289
2024-02-08,603928.SH,SELL,4.16,380
2024-02-08,605006.SH,SELL,4.47,370
2024-03-04,002950.SZ,SELL,7.54,284
2024-03-04,601288.SH,SELL,3.71,612
2024-03-04,603010.SH,SELL,9.21,245
2024-03-04,603181.SH,SELL,9.15,260
2024-03-04,603511.SH,SELL,11.98,182
2024-03-04,603926.SH,BUY,8.46,225
2024-03-04,603385.SH,BUY,5.65,337
2024-03-04,605006.SH,BUY,5.64,340
2024-03-04,603790.SH,BUY,9.48,202
2024-03-04,002631.SZ,BUY,4.68,408
2024-03-04,603176.SH,BUY,4.59,417
2024-03-04,001206.SZ,BUY,10.88,175
2024-03-04,002940.SZ,SELL,15.57,17
2024-03-04,605138.SH,BUY,5.64,339
2024-03-04,603823.SH,BUY,7.18,267
2024-03-04,605339.SH,SELL,15.62,13
2024-03-04,603216.SH,BUY,9.21,207
2024-03-04,002264.SZ,BUY,4.24,450
2024-03-04,003018.SZ,BUY,6.27,306
2024-03-04,603976.SH,BUY,13.33,143
2024-03-04,603155.SH,SELL,8.37,35
2024-03-04,605007.SH,SELL,11.84,26
2024-03-04,000833.SZ,BUY,4.06,470
2024-03-04,603320.SH,BUY,10.95,174
2024-03-04,002054.SZ,SELL,5.11,21
2024-04-02,000833.SZ,SELL,4.67,470
2024-04-02,001206.SZ,SELL,12.05,175
2024-04-02,002264.SZ,SELL,4.57,450
2024-04-02,003018.SZ,SELL,6.68,306
2024-04-02,603216.SH,SELL,9.91,207
2024-04-02,603320.SH,SELL,12.64,174
2024-04-02,603790.SH,SELL,12.2,202
2024-04-02,603976.SH,SELL,14.93,143
2024-04-02,605006.SH,SELL,6.03,340
2024-04-02,605007.SH,SELL,13.62,162
2024-04-02,605138.SH,SELL,8.11,339
2024-04-02,605339.SH,SELL,16.93,123
2024-04-02,603022.SH,BUY,8.31,251
2024-04-02,603585.SH,BUY,8.37,250
2024-04-02,002054.SZ,BUY,5.44,10
2024-04-02,603926.SH,SELL,11.72,33
2024-04-02,603823.SH,BUY,7.68,8
2024-04-02,605033.SH,BUY,14.89,140
2024-04-02,603176.SH,BUY,4.98,6
2024-04-02,603385.SH,BUY,6.02,8
2024-04-02,603155.SH,BUY,8.18,25
2024-04-02,002940.SZ,BUY,16.09,8
2024-04-02,600784.SH,BUY,5.28,397
2024-04-02,603223.SH,BUY,8.33,253
2024-04-02,001230.SZ,BUY,11.14,193
2024-04-02,603797.SH,BUY,4.57,456
2024-04-02,002062.SZ,BUY,3.95,531
2024-04-02,603321.SH,BUY,6.7,312
2024-04-02,603115.SH,BUY,11.28,185
2024-04-02,603010.SH,BUY,9.21,228
2024-04-02,603337.SH,BUY,21.05,100
2024-04-17,603022.SH,SELL,6.6,251
2024-05-07,002062.SZ,SELL,4.06,531
2024-05-07,002940.SZ,SELL,17.32,130
2024-05-07,600784.SH,SELL,5.14,397
2024-05-07,603010.SH,SELL,9.99,228
2024-05-07,603115.SH,SELL,11.4,185
2024-05-07,603155.SH,SELL,8.07,254
2024-05-07,603223.SH,SELL,7.98,253
2024-05-07,603321.SH,SELL,7.36,312
2024-05-07,603337.SH,SELL,26.79,100
2024-05-07,603585.SH,SELL,8.51,250
2024-05-07,603797.SH,SELL,4.06,456
2024-05-07,603823.SH,SELL,9.38,275
2024-05-07,603926.SH,SELL,9.52,192
2024-05-07,605033.SH,SELL,14.89,140
2024-05-07,603386.SH,BUY,10.21,207
2024-05-07,603101.SH,BUY,5.35,397
2024-05-07,001230.SZ,BUY,10.92,1
2024-05-07,603682.SH,BUY,4.08,521
2024-05-07,600676.SH,BUY,3.59,592
2024-05-07,002631.SZ,BUY,4.88,26
