date,stock_code,action,price,shares
2024-02-23,603237.SH,BUY,18.15,124
2024-02-23,605009.SH,BUY,25.72,87
2024-02-23,605259.SH,BUY,13.91,161
2024-02-23,605377.SH,BUY,9.82,228
2024-02-23,600802.SH,BUY,3.56,635
2024-02-23,605066.SH,BUY,5.11,442
2024-02-23,600681.SH,BUY,3.3,683
2024-02-23,000880.SZ,BUY,5.54,404
2024-02-23,603859.SH,BUY,23.07,96
2024-02-23,002114.SZ,BUY,4.91,462
2024-02-23,603818.SH,BUY,3.77,603
2024-02-23,002182.SZ,BUY,11.2,200
2024-02-23,002987.SZ,BUY,7.53,299
2024-02-23,600936.SH,BUY,2.8,803
2024-02-23,603031.SH,BUY,28.99,77
2024-02-23,600283.SH,BUY,7.55,297
2024-02-23,603365.SH,BUY,13.98,160
2024-02-23,000665.SZ,BUY,3.91,575
2024-02-23,600617.SH,BUY,2.26,1003
2024-02-23,002431.SZ,BUY,2.07,1086
2024-03-04,000880.SZ,SELL,5.79,404
2024-03-04,002431.SZ,SELL,2.11,1086
2024-03-04,002987.SZ,SELL,8.06,299
2024-03-04,600617.SH,SELL,2.32,1003
2024-03-04,603031.SH,SELL,28.72,77
2024-03-04,603365.SH,SELL,13.73,160
2024-03-04,603818.SH,SELL,3.85,603
2024-03-04,603859.SH,SELL,25.47,96
2024-03-04,603237.SH,BUY,17.68,6
2024-03-04,605259.SH,BUY,14.18,2
2024-03-04,605009.SH,BUY,25.3,3
2024-03-04,600168.SH,BUY,4.03,571
2024-03-04,600681.SH,BUY,3.36,6
2024-03-04,600182.SH,BUY,11.98,191
2024-03-04,002741.SZ,BUY,14.0,171
2024-03-04,600802.SH,SELL,3.67,9
2024-03-04,002114.SZ,SELL,5.0,1
2024-03-04,605066.SH,SELL,5.28,5
2024-03-04,605377.SH,SELL,10.53,1
2024-03-04,603809.SH,BUY,4.7,489
2024-03-04,603356.SH,BUY,12.52,183
2024-03-04,000430.SZ,BUY,4.87,472
2024-03-04,600936.SH,SELL,2.98,20
2024-03-04,002182.SZ,SELL,11.97,7
2024-03-04,000665.SZ,SELL,4.14,16
2024-03-04,600192.SH,BUY,4.4,536
2024-03-04,600283.SH,BUY,7.7,1
2024-03-04,000999.SZ,BUY,29.7,76
2024-03-28,002741.SZ,SELL,10.97,171
2024-04-02,000430.SZ,SELL,5.96,472
2024-04-02,000999.SZ,SELL,28.85,76
2024-04-02,002114.SZ,SELL,5.83,461
2024-04-02,002182.SZ,SELL,12.66,193
2024-04-02,600182.SH,SELL,12.82,191
2024-04-02,600192.SH,SELL,5.06,536
2024-04-02,600283.SH,SELL,8.41,298
2024-04-02,600802.SH,SELL,3.81,626
2024-04-02,603356.SH,SELL,13.08,183
2024-04-02,605066.SH,SELL,5.85,437
2024-04-02,605259.SH,SELL,15.8,163
2024-04-02,605377.SH,SELL,10.64,227
2024-04-02,603237.SH,BUY,18.33,1
2024-04-02,603886.SH,BUY,14.47,166
2024-04-02,002741.SZ,BUY,11.79,203
2024-04-02,603881.SH,BUY,12.44,192
2024-04-02,600936.SH,BUY,2.98,24
2024-04-02,600996.SH,BUY,8.14,293
2024-04-02,600168.SH,SELL,4.3,9
2024-04-02,603167.SH,BUY,7.5,330
2024-04-02,000665.SZ,BUY,4.17,16
2024-04-02,600617.SH,BUY,2.34,1029
2024-04-02,603809.SH,SELL,5.08,18
2024-04-02,600008.SH,BUY,2.54,948
2024-04-02,600681.SH,BUY,3.31,37
2024-04-02,603668.SH,BUY,13.74,174
2024-04-02,603319.SH,BUY,12.22,197
2024-04-02,603507.SH,BUY,20.19,121
2024-04-02,601200.SH,BUY,7.41,325
2024-04-02,603161.SH,BUY,10.44,232
2024-04-02,603269.SH,BUY,6.7,356
2024-04-17,600996.SH,SELL,6.39,293
2024-04-17,603269.SH,SELL,5.26,356
2024-04-17,603668.SH,SELL,11.07,174
2024-05-07,000665.SZ,SELL,3.79,575
2024-05-07,002741.SZ,SELL,11.25,203
2024-05-07,600008.SH,SELL,2.65,948
2024-05-07,600617.SH,SELL,2.64,1029
2024-05-07,603161.SH,SELL,11.23,232
2024-05-07,603167.SH,SELL,7.85,330
2024-05-07,603319.SH,SELL,12.8,197
2024-05-07,603507.SH,SELL,22.21,121
2024-05-07,603809.SH,SELL,6.09,471
2024-05-07,603881.SH,SELL,11.95,192
2024-05-07,605009.SH,SELL,30.35,90
2024-05-07,603237.SH,SELL,19.07,4
2024-05-07,600168.SH,SELL,4.43,19
2024-05-07,601200.SH,SELL,7.63,9
2024-05-07,600936.SH,BUY,2.62,109
2024-05-07,603757.SH,BUY,19.87,120
2024-05-07,000880.SZ,BUY,6.28,381
2024-05-07,002205.SZ,BUY,7.59,320
2024-05-07,600800.SH,BUY,2.61,920
2024-05-07,600337.SH,BUY,2.41,1006
2024-05-07,600681.SH,SELL,3.38,17
2024-05-07,000793.SZ,BUY,1.34,1792
2024-05-07,603922.SH,BUY,19.95,120
2024-05-07,600996.SH,BUY,7.31,328
2024-05-07,603818.SH,BUY,3.5,684
2024-05-07,002047.SZ,BUY,1.88,1284
2024-05-07,603125.SH,BUY,14.08,172
2024-05-07,002763.SZ,BUY,6.86,349
2024-05-07,002596.SZ,BUY,1.9,1270
2024-05-07,600668.SH,BUY,7.42,326
2024-05-30,000793.SZ,SELL,0.88,1792
2024-06-04,002047.SZ,SELL,1.62,1284
2024-06-04,002205.SZ,SELL,6.71,320
2024-06-04,002596.SZ,SELL,1.67,1270
2024-06-04,002763.SZ,SELL,6.66,349
2024-06-04,600337.SH,SELL,2.34,1006
2024-06-04,600996.SH,SELL,9.1,328
2024-06-04,603125.SH,SELL,13.4,172
2024-06-04,603237.SH,SELL,18.68,127
2024-06-04,603757.SH,SELL,18.62,120
2024-06-04,603818.SH,SELL,3.2,684
2024-06-04,603886.SH,SELL,14.22,166
2024-06-04,603922.SH,SELL,18.21,120
2024-06-04,600681.SH,SELL,3.28,19
2024-06-04,600831.SH,BUY,3.19,701
2024-06-04,000898.SZ,BUY,2.26,998
2024-06-04,605066.SH,BUY,5.43,412
2024-06-04,600936.SH,BUY,2.33,48
2024-06-04,600668.SH,SELL,6.96,4
2024-06-04,000793.SZ,BUY,0.7,2894
2024-06-04,600802.SH,BUY,3.2,712
2024-06-04,600231.SH,BUY,1.5,1495
2024-06-04,600283.SH,BUY,8.85,255
2024-06-04,601339.SH,BUY,4.73,472
2024-06-04,603303.SH,BUY,10.95,207
2024-06-04,600403.SH,BUY,2.91,775
2024-06-04,601200.SH,SELL,7.27,6
2024-06-04,600168.SH,SELL,4.33,21
2024-06-04,603137.SH,BUY,10.67,210
2024-06-04,600408.SH,BUY,1.85,1220
2024-06-04,002114.SZ,BUY,4.78,467
2024-06-04,600800.SH,BUY,2.27,74
2024-06-04,000880.SZ,BUY,5.8,7
2024-06-07,600800.SH,SELL,2.04,994
2024-06-07,600936.SH,SELL,2.1,964
2024-07-02,000793.SZ,SELL,1.19,2894
2024-07-02,000898.SZ,SELL,2.17,998
2024-07-02,600168.SH,SELL,3.97,522
2024-07-02,600231.SH,SELL,1.33,1495
2024-07-02,600283.SH,SELL,8.7,255
2024-07-02,600403.SH,SELL,2.67,775
2024-07-02,600668.SH,SELL,6.58,322
2024-07-02,601200.SH,SELL,7.02,310
2024-07-02,601339.SH,SELL,4.89,472
2024-07-02,603137.SH,SELL,10.33,210
