date,stock_code,action,price,shares
2023-10-10,605128.SH,BUY,16.1,141
2023-10-10,003041.SZ,BUY,15.36,147
2023-10-10,002360.SZ,BUY,6.74,336
2023-10-10,002899.SZ,BUY,15.12,149
2023-10-10,605319.SH,BUY,11.37,198
2023-10-10,003018.SZ,BUY,8.11,281
2023-10-10,003017.SZ,BUY,17.17,132
2023-10-10,600784.SH,BUY,5.98,376
2023-10-10,003038.SZ,BUY,24.28,93
2023-10-10,603150.SH,BUY,27.08,82
2023-10-10,605009.SH,BUY,27.22,82
2023-10-10,600502.SH,BUY,4.11,548
2023-10-10,605189.SH,BUY,11.57,194
2023-10-10,000521.SZ,BUY,5.53,407
2023-10-10,002732.SZ,BUY,20.87,108
2023-10-10,600419.SH,BUY,12.73,177
2023-10-10,600262.SH,BUY,12.22,185
2023-10-10,603380.SH,BUY,21.89,102
2023-10-10,603558.SH,BUY,7.36,304
2023-10-10,002391.SZ,BUY,6.19,364
2023-11-02,000521.SZ,SELL,5.25,407
2023-11-02,002391.SZ,SELL,6.09,364
2023-11-02,002732.SZ,SELL,19.39,108
2023-11-02,600419.SH,SELL,12.16,177
2023-11-02,600502.SH,SELL,4.02,548
2023-11-02,600784.SH,SELL,5.84,376
2023-11-02,603150.SH,SELL,27.07,82
2023-11-02,603380.SH,SELL,22.62,102
2023-11-02,603558.SH,SELL,8.04,304
2023-11-02,605009.SH,SELL,26.0,82
2023-11-02,605128.SH,SELL,16.33,141
2023-11-02,605319.SH,SELL,14.46,198
2023-11-02,603577.SH,BUY,8.87,254
2023-11-02,000417.SZ,BUY,4.53,501
2023-11-02,002774.SZ,BUY,6.98,328
2023-11-02,605189.SH,SELL,11.99,4
2023-11-02,003038.SZ,BUY,23.38,4
2023-11-02,002238.SZ,BUY,6.43,351
2023-11-02,600262.SH,BUY,12.02,3
2023-11-02,002360.SZ,BUY,6.75,1
2023-11-02,002899.SZ,SELL,15.99,6
2023-11-02,605268.SH,BUY,9.3,244
2023-11-02,605389.SH,BUY,17.99,126
2023-11-02,603639.SH,BUY,15.25,149
2023-11-02,003041.SZ,SELL,16.0,4
2023-11-02,603886.SH,BUY,16.03,139
2023-11-02,003018.SZ,SELL,8.2,4
2023-11-02,002768.SZ,BUY,14.09,159
2023-11-02,003017.SZ,SELL,17.52,2
2023-11-02,603012.SH,BUY,5.43,417
2023-11-02,601789.SH,BUY,4.01,563
2023-11-02,601020.SH,BUY,8.14,279
2023-12-04,000417.SZ,SELL,4.75,501
2023-12-04,002238.SZ,SELL,12.68,351
2023-12-04,002360.SZ,SELL,6.76,337
2023-12-04,002768.SZ,SELL,14.08,159
2023-12-04,003018.SZ,SELL,8.29,277
2023-12-04,003038.SZ,SELL,24.0,97
2023-12-04,600262.SH,SELL,13.49,188
2023-12-04,601020.SH,SELL,9.05,279
2023-12-04,601789.SH,SELL,4.08,563
2023-12-04,603012.SH,SELL,5.62,417
2023-12-04,603577.SH,SELL,9.14,254
2023-12-04,603639.SH,SELL,14.64,149
2023-12-04,605189.SH,SELL,12.57,190
2023-12-04,605268.SH,SELL,9.44,244
2023-12-04,605389.SH,SELL,18.51,126
2023-12-04,603269.SH,BUY,5.09,475
2023-12-04,605128.SH,BUY,16.1,150
2023-12-04,000090.SZ,BUY,4.63,521
2023-12-04,603709.SH,BUY,10.41,233
2023-12-04,000517.SZ,BUY,2.29,1055
2023-12-04,002749.SZ,BUY,7.63,315
2023-12-04,601366.SH,BUY,5.5,439
2023-12-04,600284.SH,BUY,5.87,410
2023-12-04,003017.SZ,BUY,17.74,5
2023-12-04,603886.SH,BUY,15.41,17
2023-12-04,003041.SZ,BUY,16.3,6
2023-12-04,605287.SH,BUY,17.08,141
2023-12-04,600168.SH,BUY,4.3,562
2023-12-04,002774.SZ,BUY,7.28,3
2023-12-04,600502.SH,BUY,3.96,607
2023-12-04,600480.SH,BUY,6.21,391
2023-12-04,603699.SH,BUY,12.23,198
2023-12-04,600828.SH,BUY,3.89,618
2023-12-04,002899.SZ,BUY,16.63,2
2023-12-04,605166.SH,BUY,9.55,251
2024-01-03,000090.SZ,SELL,4.09,521
2024-01-03,000517.SZ,SELL,2.15,1055
2024-01-03,002749.SZ,SELL,8.54,315
2024-01-03,002899.SZ,SELL,16.95,145
2024-01-03,003017.SZ,SELL,19.1,135
2024-01-03,600168.SH,SELL,4.68,562
2024-01-03,600284.SH,SELL,5.77,410
2024-01-03,600480.SH,SELL,6.53,391
2024-01-03,600502.SH,SELL,3.93,607
2024-01-03,600828.SH,SELL,3.69,618
2024-01-03,603709.SH,SELL,10.77,233
2024-01-03,605128.SH,SELL,17.61,150
2024-01-03,605287.SH,SELL,18.52,141
2024-01-03,003041.SZ,BUY,15.96,3
2024-01-03,605189.SH,BUY,12.53,194
2024-01-03,603176.SH,BUY,6.21,390
2024-01-03,605007.SH,BUY,14.15,173
2024-01-03,002774.SZ,SELL,7.82,9
2024-01-03,601366.SH,BUY,5.26,24
2024-01-03,603269.SH,BUY,4.78,31
2024-01-03,603699.SH,SELL,12.79,8
2024-01-03,002206.SZ,BUY,4.53,535
2024-01-03,003018.SZ,BUY,8.63,282
2024-01-03,603511.SH,BUY,13.99,173
2024-01-03,600785.SH,BUY,10.1,240
2024-01-03,603886.SH,BUY,15.02,6
2024-01-03,603585.SH,BUY,10.12,240
2024-01-03,603059.SH,BUY,22.56,107
2024-01-03,603639.SH,BUY,14.25,171
2024-01-03,603365.SH,BUY,11.96,203
2024-01-03,600210.SH,BUY,4.06,598
